,AAPL,GOOG,MSFT
2025-09-09 15:00:00+00:00,236.4949951171875,237.11349487304688,
2025-09-09 15:01:00+00:00,236.3800048828125,237.0399932861328,
2025-09-09 15:02:00+00:00,236.4199981689453,237.0800018310547,
2025-09-09 15:03:00+00:00,236.52000427246094,236.9199981689453,
2025-09-09 15:04:00+00:00,236.5399932861328,236.9499969482422,
2025-09-09 15:05:00+00:00,236.4199981689453,237.02000427246094,
2025-09-09 15:06:00+00:00,236.1199951171875,236.8699951171875,
2025-09-09 15:07:00+00:00,236.0,236.80999755859375,
2025-09-09 15:08:00+00:00,236.05999755859375,236.92999267578125,
2025-09-09 15:09:00+00:00,236.08999633789062,236.88999938964844,
2025-09-09 15:10:00+00:00,236.08999633789062,236.9199981689453,
2025-09-09 15:11:00+00:00,236.09500122070312,236.97999572753906,
2025-09-09 15:12:00+00:00,236.1199951171875,236.8907928466797,
2025-09-09 15:13:00+00:00,236.13999938964844,236.76499938964844,
2025-09-09 15:14:00+00:00,236.1490020751953,236.7991943359375,
2025-09-09 15:15:00+00:00,236.2100067138672,236.9199981689453,
2025-09-09 15:16:00+00:00,236.02000427246094,236.86500549316406,
2025-09-09 15:17:00+00:00,236.14999389648438,236.72000122070312,
2025-09-09 15:18:00+00:00,236.25999450683594,236.74000549316406,
2025-09-09 15:19:00+00:00,236.2613067626953,236.65499877929688,
2025-09-09 15:20:00+00:00,236.1999969482422,236.60000610351562,
2025-09-09 15:21:00+00:00,236.25,236.625,
2025-09-09 15:22:00+00:00,236.2899932861328,236.55499267578125,
2025-09-09 15:23:00+00:00,236.2801055908203,236.5,
2025-09-09 15:24:00+00:00,236.3699951171875,236.35000610351562,
2025-09-09 15:25:00+00:00,236.36000061035156,236.33450317382812,
2025-09-09 15:26:00+00:00,236.33920288085938,236.4499969482422,
2025-09-09 15:27:00+00:00,236.32009887695312,236.4700927734375,
2025-09-09 15:28:00+00:00,236.17999267578125,236.42999267578125,
2025-09-09 15:29:00+00:00,236.22500610351562,236.32000732421875,
2025-09-09 15:30:00+00:00,236.0500030517578,236.22999572753906,
2025-09-09 15:31:00+00:00,236.03500366210938,236.14500427246094,
2025-09-09 15:32:00+00:00,236.1201934814453,236.1699981689453,
2025-09-09 15:33:00+00:00,236.09469604492188,236.15499877929688,
2025-09-09 15:34:00+00:00,236.08999633789062,236.25,
